Year,Station,Month,Rainfall,StationIndex
1970,Sylhet,1,62,31
1970,Sylhet,2,65,31
1970,Sylhet,3,60,31
1970,Sylhet,4,466,31
1970,Sylhet,5,851,31
1970,Sylhet,6,955,31
1970,Sylhet,7,1076,31
1970,Sylhet,8,662,31
1970,Sylhet,9,622,31
1970,Sylhet,10,608,31
1970,Sylhet,11,47,31
1970,Sylhet,12,0,31
1971,Sylhet,1,22,31
1971,Sylhet,2,7,31
1971,Sylhet,3,62,31
1971,Sylhet,4,0,31
1971,Sylhet,5,11,31
1971,Sylhet,6,710,31
1971,Sylhet,7,510,31
1971,Sylhet,8,571,31
1971,Sylhet,9,349,31
1971,Sylhet,10,259,31
1971,Sylhet,11,85,31
1971,Sylhet,12,0,31
1972,Sylhet,1,4,31
1972,Sylhet,2,40,31
1972,Sylhet,3,110,31
1972,Sylhet,4,445,31
1972,Sylhet,5,384,31
1972,Sylhet,6,829,31
1972,Sylhet,7,826,31
1972,Sylhet,8,479,31
1972,Sylhet,9,353,31
1972,Sylhet,10,302,31
1972,Sylhet,11,0,31
1972,Sylhet,12,0,31
1973,Sylhet,1,0,30
1973,Sylhet,2,108,30
1973,Sylhet,3,16,30
1973,Sylhet,4,318,30
1973,Sylhet,5,559,30
1973,Sylhet,6,553,30
1973,Sylhet,7,378,30
1973,Sylhet,8,181,30
1973,Sylhet,9,150,30
1973,Sylhet,10,80,30
1973,Sylhet,11,88,30
1973,Sylhet,12,37,30
1974,Sylhet,1,0,31
1974,Sylhet,2,0,31
1974,Sylhet,3,81,31
1974,Sylhet,4,396,31
1974,Sylhet,5,505,31
1974,Sylhet,6,1014,31
1974,Sylhet,7,1128,31
1974,Sylhet,8,854,31
1974,Sylhet,9,714,31
1974,Sylhet,10,448,31
1974,Sylhet,11,8,31
1974,Sylhet,12,0,31
1975,Sylhet,1,0,31
1975,Sylhet,2,31,31
1975,Sylhet,3,64,31
1975,Sylhet,4,255,31
1975,Sylhet,5,567,31
1975,Sylhet,6,0,31
1975,Sylhet,7,1061,31
1975,Sylhet,8,737,31
1975,Sylhet,9,466,31
1975,Sylhet,10,171,31
1975,Sylhet,11,92,31
1975,Sylhet,12,0,31
1976,Sylhet,1,0,31
1976,Sylhet,2,11,31
1976,Sylhet,3,323,31
1976,Sylhet,4,97,31
1976,Sylhet,5,437,31
1976,Sylhet,6,1155,31
1976,Sylhet,7,1096,31
1976,Sylhet,8,880,31
1976,Sylhet,9,224,31
1976,Sylhet,10,260,31
1976,Sylhet,11,45,31
1976,Sylhet,12,0,31
1977,Sylhet,2,43,31
1977,Sylhet,3,133,31
1977,Sylhet,4,759,31
1977,Sylhet,5,387,31
1977,Sylhet,6,787,31
1977,Sylhet,7,516,31
1977,Sylhet,8,743,31
1977,Sylhet,9,104,31
1977,Sylhet,10,397,31
1977,Sylhet,11,54,31
1977,Sylhet,12,4,31
1978,Sylhet,1,0,31
1978,Sylhet,2,0,31
1978,Sylhet,3,50,31
1978,Sylhet,4,199,31
1978,Sylhet,5,791,31
1978,Sylhet,6,870,31
1978,Sylhet,7,722,31
1978,Sylhet,8,256,31
1978,Sylhet,9,335,31
1978,Sylhet,10,171,31
1978,Sylhet,11,2,31
1978,Sylhet,12,0,31
